building_id,floor_area,occupants,hvac_type,outdoor_temp_c,insulation_rating,is_weekend,month,appliance_density,kwh_day
147,554,46,electric_resistance,14.1,3,0,7,0.295,88.1
148,3219,77,electric_resistance,-2.6,2,0,2,0.506,715.7
149,2614,32,gas_furnace,13.7,4,0,1,0.286,278.1
150,735,73,electric_resistance,10.0,4,0,5,0.473,132.0
151,4077,95,gas_furnace,8.2,4,0,1,0.524,552.2
152,4074,12,gas_furnace,10.3,2,1,12,0.315,412.9
153,2379,54,electric_resistance,6.1,3,1,10,0.474,249.7
154,4542,79,electric_resistance,5.5,4,0,2,0.752,741.0
155,2960,7,gas_furnace,-4.1,2,0,10,0.509,463.6
156,4350,76,gas_furnace,10.7,5,0,10,0.332,481.5
157,4615,109,gas_furnace,27.6,3,1,9,0.438,376.3
158,2786,99,gas_furnace,28.8,1,0,11,0.281,370.0
159,1434,82,electric_resistance,22.9,2,0,9,0.5,171.1
160,800,96,gas_furnace,17.4,5,0,7,0.609,158.8
161,2754,44,gas_furnace,4.9,4,0,9,0.299,313.1
162,1020,39,electric_resistance,24.0,3,0,10,0.411,111.7
163,3631,10,gas_furnace,10.5,3,0,8,0.655,440.2
164,4462,86,heat_pump,10.4,2,0,6,0.358,537.0
165,1268,38,electric_resistance,8.4,5,1,7,0.485,131.9
166,2704,104,gas_furnace,11.8,2,0,5,0.262,332.5
167,350,56,electric_resistance,7.1,5,1,5,0.299,59.1
168,964,107,electric_resistance,10.2,1,0,7,0.356,176.6
169,1885,17,gas_furnace,1.2,3,0,9,0.842,280.8
170,4257,20,electric_resistance,7.6,2,0,3,0.376,505.2
171,4657,42,heat_pump,31.5,3,0,6,0.355,537.0
172,3122,4,gas_furnace,10.4,4,0,4,0.349,291.0
173,2850,59,geothermal,8.9,1,1,2,0.42,298.0
174,2786,78,gas_furnace,15.8,1,0,4,0.568,311.9
175,403,79,gas_furnace,17.4,3,0,4,0.484,93.0
176,1881,26,electric_resistance,1.0,4,0,12,0.82,335.9
177,4721,20,electric_resistance,9.1,1,0,5,0.488,590.0
178,2043,68,gas_furnace,19.3,5,1,5,0.711,196.3
179,1118,76,gas_furnace,13.4,3,0,5,0.5,161.0
180,1240,113,heat_pump,12.1,5,1,3,0.559,143.9
181,3458,107,heat_pump,25.0,1,1,11,0.19,317.5
182,298,46,heat_pump,4.9,5,0,12,0.427,70.5
183,4656,20,gas_furnace,11.7,4,0,5,0.438,466.6
184,4220,31,geothermal,6.3,5,0,2,0.406,513.4
185,2776,105,gas_furnace,24.4,5,0,1,0.062,326.4
186,2308,55,gas_furnace,-6.6,1,1,12,0.609,367.7
187,3683,119,gas_furnace,5.0,1,1,10,0.38,397.9
188,2682,79,gas_furnace,6.2,5,0,11,0.371,397.0
189,2353,71,geothermal,17.0,3,1,8,0.404,231.8
190,1627,13,geothermal,16.5,2,0,8,0.409,161.9
191,2210,71,gas_furnace,23.6,4,0,10,0.523,233.2
192,3636,46,heat_pump,-3.2,5,0,6,0.221,417.2
193,377,101,geothermal,17.8,2,0,10,0.282,91.9
194,237,16,gas_furnace,8.4,5,1,3,0.502,25.3
195,3491,23,electric_resistance,5.0,1,1,6,0.476,428.6
196,1861,79,heat_pump,15.9,4,0,2,0.382,231.9
197,3881,81,geothermal,2.7,2,1,10,0.347,345.7
198,262,99,heat_pump,-7.7,3,0,2,0.3,113.9
199,4365,63,gas_furnace,7.7,4,1,7,0.439,416.0
200,695,45,heat_pump,-2.5,2,0,5,0.663,128.8
201,2065,37,gas_furnace,5.2,1,1,12,0.26,244.1
202,4646,45,electric_resistance,14.3,3,0,5,0.724,557.2
203,627,79,electric_resistance,13.8,5,0,2,0.602,134.5
204,3198,65,gas_furnace,25.3,2,0,12,0.368,372.9
205,3526,36,electric_resistance,9.2,3,0,7,0.591,465.7
206,2124,26,gas_furnace,-2.8,1,0,7,0.186,360.2
207,489,85,gas_furnace,4.2,2,0,8,0.138,117.0
208,2571,30,gas_furnace,2.7,1,1,12,0.218,279.6
209,2148,25,heat_pump,0.0,1,0,1,0.376,328.4
210,4204,40,heat_pump,14.9,5,0,9,0.391,413.4
211,3313,102,electric_resistance,5.2,5,1,6,0.357,365.7
212,1730,55,electric_resistance,-6.8,5,0,2,0.468,331.8
213,391,71,heat_pump,17.3,4,1,11,0.066,67.0
214,2882,10,electric_resistance,10.0,1,0,7,0.539,384.1
215,1428,41,electric_resistance,14.2,5,0,11,0.195,166.9
216,3319,90,gas_furnace,12.0,1,0,2,0.331,421.8
217,4162,92,heat_pump,16.7,2,0,9,0.376,429.6
218,1783,69,electric_resistance,11.3,2,0,1,0.242,257.0
219,4347,105,heat_pump,22.1,4,0,12,0.203,532.2
220,2549,36,gas_furnace,14.8,1,0,12,0.269,291.7
221,2604,20,gas_furnace,14.5,5,0,11,0.448,261.0
222,3701,10,gas_furnace,14.7,1,0,5,0.556,369.7
223,3813,24,heat_pump,-2.1,5,0,9,0.552,449.9
224,4374,91,gas_furnace,9.5,3,0,3,0.271,457.5
225,4796,108,gas_furnace,8.7,2,1,11,0.308,492.7
226,826,16,gas_furnace,12.9,3,1,2,0.284,76.0
227,2050,60,heat_pump,-1.2,1,1,9,0.531,254.3
228,4488,16,geothermal,25.7,3,0,8,0.083,387.5
229,1559,101,heat_pump,11.9,4,0,4,0.673,225.3
230,144,16,heat_pump,0.1,2,0,6,0.363,31.4
231,2816,77,heat_pump,-4.4,5,0,6,0.309,368.6
232,3643,10,heat_pump,8.5,4,0,1,0.511,428.2
233,3597,88,gas_furnace,10.2,2,0,1,0.636,512.4
234,3913,108,electric_resistance,4.5,2,0,9,0.512,578.5
235,3133,88,electric_resistance,11.8,4,0,9,0.639,417.6
236,760,33,heat_pump,5.2,2,0,4,0.474,100.2
237,4084,101,heat_pump,16.0,5,0,6,0.671,516.5
238,2080,37,heat_pump,4.5,3,0,10,0.674,286.2
239,4085,90,electric_resistance,10.7,4,0,9,0.432,472.9
240,3935,100,gas_furnace,19.8,5,1,6,0.709,393.2
241,4661,58,geothermal,34.1,5,0,11,0.48,535.8
242,186,74,electric_resistance,1.9,2,0,7,0.466,89.2
243,4173,102,gas_furnace,6.8,3,0,1,0.284,607.5
244,3061,23,electric_resistance,3.4,4,0,6,0.398,418.3
245,2391,3,electric_resistance,18.1,3,0,3,0.59,203.3
246,3831,52,heat_pump,0.7,2,0,9,0.214,432.8
247,4576,22,heat_pump,6.6,4,0,2,0.567,613.3
248,2520,106,gas_furnace,10.7,5,1,12,0.513,315.7
249,529,104,gas_furnace,2.2,3,0,8,0.5,152.6
250,3516,45,heat_pump,2.4,2,0,10,0.053,402.1
251,1199,37,gas_furnace,6.7,4,1,6,0.431,126.9
252,1179,85,gas_furnace,-7.9,3,1,1,0.567,210.4
253,1022,54,heat_pump,-2.0,2,0,6,0.313,173.3
254,1049,12,heat_pump,7.3,5,0,6,0.466,126.2
255,4378,79,heat_pump,12.3,4,0,6,0.05,403.4
256,1819,87,heat_pump,9.3,4,0,3,0.571,262.0
257,616,9,geothermal,-5.0,5,0,3,0.331,73.4
258,959,93,heat_pump,6.8,1,1,2,0.607,153.4
259,1967,64,heat_pump,18.2,5,0,6,0.118,192.1
260,1739,99,heat_pump,16.0,1,0,3,0.575,241.7
261,1571,102,gas_furnace,10.3,1,0,8,0.407,253.3
262,4557,81,heat_pump,3.0,5,0,3,0.595,488.8
263,4175,40,gas_furnace,16.7,2,1,6,0.283,339.4
264,2803,45,heat_pump,5.8,1,0,12,0.339,393.2
265,4736,87,heat_pump,0.5,4,0,7,0.854,728.2
266,1711,8,electric_resistance,3.8,2,0,9,0.301,244.9
267,763,28,heat_pump,24.0,3,0,9,0.323,81.9
268,1390,62,gas_furnace,13.0,5,1,11,0.4,146.2
269,537,113,gas_furnace,21.4,3,0,1,0.266,131.6
270,4575,91,gas_furnace,6.7,1,0,9,0.664,632.9
271,1144,98,electric_resistance,19.4,4,0,3,0.761,178.7
272,2200,23,heat_pump,5.6,1,0,4,0.323,262.8
273,1066,34,geothermal,9.6,2,1,11,0.139,100.3
274,4708,32,geothermal,33.4,2,0,5,0.661,535.3
275,859,90,electric_resistance,17.9,5,1,7,0.65,135.8
276,2532,64,heat_pump,6.5,1,0,6,0.598,402.6
277,4568,26,electric_resistance,10.2,3,0,2,0.658,666.5
278,2559,90,gas_furnace,13.9,3,0,4,0.294,295.9
279,4327,76,electric_resistance,21.9,3,0,2,0.42,500.2
280,4315,107,heat_pump,6.6,3,0,6,0.201,567.2
281,3714,67,geothermal,-4.7,1,0,1,0.195,548.8
282,3596,15,geothermal,8.5,2,0,10,0.627,445.1
283,2818,106,heat_pump,11.1,3,0,7,0.329,349.6
284,2837,22,heat_pump,12.0,1,0,1,0.86,398.2
285,4010,7,heat_pump,22.9,5,0,12,0.463,382.9
286,2116,96,electric_resistance,13.9,5,0,4,0.335,248.5
287,4546,54,geothermal,18.3,3,0,5,0.594,470.3
288,4229,77,geothermal,1.1,5,0,6,0.774,642.5
289,1872,16,gas_furnace,18.8,3,0,7,0.538,192.0
290,2046,86,electric_resistance,29.9,3,1,9,0.231,192.7
291,3463,49,electric_resistance,18.0,3,0,7,0.517,372.8
292,4438,119,gas_furnace,13.3,1,1,8,0.698,480.8
293,571,76,geothermal,12.4,1,0,4,0.361,97.1
294,441,112,gas_furnace,27.1,3,1,9,0.311,86.3
295,1281,95,heat_pump,2.7,1,0,11,0.633,248.8
296,2132,101,gas_furnace,10.0,4,0,2,0.475,332.1
297,881,11,heat_pump,15.1,2,0,2,0.252,95.1
298,2551,93,electric_resistance,17.7,3,1,3,0.382,211.3
299,2653,72,electric_resistance,7.1,5,0,4,0.314,297.4
300,4570,48,gas_furnace,13.8,5,1,4,0.503,339.8
